preco,promocao,quantidade,tipo_produto,vendas
20.50,true,100,eletronico,82
35.00,false,80,eletronico,48
15.00,true,120,casa,91
50.00,false,60,casa,31
12.50,true,150,papelaria,115
28.00,true,90,papelaria,70
42.00,false,75,eletronico,39
18.00,true,130,casa,98
25.00,false,100,papelaria,55
10.00,true,160,papelaria,128
22.00,true,110,eletronico,88
32.00,false,85,eletronico,51
16.00,true,140,casa,105
45.00,false,65,casa,34
14.00,true,145,papelaria,110
30.00,false,95,papelaria,58
24.00,true,105,eletronico,84
40.00,false,70,eletronico,38
19.00,true,125,casa,94
27.00,false,90,casa,50
